Infinitive,посту́кивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посту́кивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,посту́кивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посту́кивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,посту́кивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,посту́кивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,посту́киваю
2nd Sing,посту́киваешь
3rd Sing,посту́кивает
1st Pl,посту́киваем
2nd Pl,посту́киваете
3rd Pl,посту́кивают
Past M,посту́кивал
Past F,посту́кивала
Past N,посту́кивало
Past PL,посту́кивали
Imp S,посту́кивай
Imp PL,посту́кивайте
