Infinitive,поселя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поселя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поселя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поселя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поселя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поселя́юсь
2nd Sing,поселя́ешься
3rd Sing,поселя́ется
1st Pl,поселя́емся
2nd Pl,поселя́етесь
3rd Pl,поселя́ются
Past M,поселя́лся
Past F,поселя́лась
Past N,поселя́лось
Past PL,поселя́лись
Imp S,поселя́йся
Imp PL,поселя́йтесь
