Infinitive,поработи́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поработи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,порабощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поработи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поработи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,порабощу́
2nd Sing,поработи́шь
3rd Sing,поработи́т
1st Pl,поработи́м
2nd Pl,поработи́те
3rd Pl,поработя́т
Past M,поработи́л
Past F,поработи́ла
Past N,поработи́ло
Past PL,поработи́ли
Imp S,поработи́
Imp PL,поработи́те
