Infinitive,поручи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поручи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пору́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поручи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поручи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поручу́
2nd Sing,пору́чишь
3rd Sing,пору́чит
1st Pl,пору́чим
2nd Pl,пору́чите
3rd Pl,пору́чат
Past M,поручи́л
Past F,поручи́ла
Past N,поручи́ло
Past PL,поручи́ли
Imp S,поручи́
Imp PL,поручи́те
