Infinitive,полежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полежу́
2nd Sing,полежи́шь
3rd Sing,полежи́т
1st Pl,полежи́м
2nd Pl,полежи́те
3rd Pl,полежа́т
Past M,полежа́л
Past F,полежа́ла
Past N,полежа́ло
Past PL,полежа́ли
Imp S,полежи́
Imp PL,полежи́те
