Infinitive,подозрева́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подозрева́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подозрева́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подозрева́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подозрева́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подозрева́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подозрева́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подозрева́ю
2nd Sing,подозрева́ешь
3rd Sing,подозрева́ет
1st Pl,подозрева́ем
2nd Pl,подозрева́ете
3rd Pl,подозрева́ют
Past M,подозрева́л
Past F,подозрева́ла
Past N,подозрева́ло
Past PL,подозрева́ли
Imp S,подозрева́й
Imp PL,подозрева́йте
