Infinitive,посове́товаться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,посове́товавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посове́товавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,посове́туюсь
2nd Sing,посове́туешься
3rd Sing,посове́туется
1st Pl,посове́туемся
2nd Pl,посове́туетесь
3rd Pl,посове́туются
Past M,посове́товался
Past F,посове́товалась
Past N,посове́товалось
Past PL,посове́товались
Imp S,посове́туйся
Imp PL,посове́туйтесь
