Infinitive,поду́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поду́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поду́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поду́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поду́ю
2nd Sing,поду́ешь
3rd Sing,поду́ет
1st Pl,поду́ем
2nd Pl,поду́ете
3rd Pl,поду́ют
Past M,поду́л
Past F,поду́ла
Past N,поду́ло
Past PL,поду́ли
Imp S,поду́й
Imp PL,поду́йте
