Infinitive,покуси́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покуси́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покуси́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,покушу́сь
2nd Sing,покуси́шься
3rd Sing,покуси́тся
1st Pl,покуси́мся
2nd Pl,покуси́тесь
3rd Pl,покуся́тся
Past M,покуси́лся
Past F,покуси́лась
Past N,покуси́лось
Past PL,покуси́лись
Imp S,покуси́сь
Imp PL,покуси́тесь
