Infinitive,подра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́дранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подеру́
2nd Sing,подерёшь
3rd Sing,подерёт
1st Pl,подерём
2nd Pl,подерёте
3rd Pl,подеру́т
Past M,подра́л
Past F,подрала́
Past N,подра́ло
Past PL,подра́ли
Imp S,подери́
Imp PL,подери́те
