Infinitive,помя́ться
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помя́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помя́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,помну́сь
2nd Sing,помнёшься
3rd Sing,помнётся
1st Pl,помнёмся
2nd Pl,помнётесь
3rd Pl,помну́тся
Past M,помя́лся
Past F,помя́лась
Past N,помя́лось
Past PL,помя́лись
Imp S,помни́сь
Imp PL,помни́тесь
