Infinitive,пощипа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пощипа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пощи́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пощипа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пощипа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пощипа́ю
2nd Sing,пощипа́ешь
3rd Sing,пощипа́ет
1st Pl,пощипа́ем
2nd Pl,пощипа́ете
3rd Pl,пощипа́ют
Past M,пощипа́л
Past F,пощипа́ла
Past N,пощипа́ло
Past PL,пощипа́ли
Imp S,пощипа́й
Imp PL,пощипа́йте
