Infinitive,подчеркну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подчеркну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подчёркнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подчеркну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подчеркну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подчеркну́
2nd Sing,подчеркнёшь
3rd Sing,подчеркнёт
1st Pl,подчеркнём
2nd Pl,подчеркнёте
3rd Pl,подчеркну́т
Past M,подчеркну́л
Past F,подчеркну́ла
Past N,подчеркну́ло
Past PL,подчеркну́ли
Imp S,подчеркни́
Imp PL,подчеркни́те
