Infinitive,подложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подложу́
2nd Sing,подло́жишь
3rd Sing,подло́жит
1st Pl,подло́жим
2nd Pl,подло́жите
3rd Pl,подло́жат
Past M,подложи́л
Past F,подложи́ла
Past N,подложи́ло
Past PL,подложи́ли
Imp S,подложи́
Imp PL,подложи́те
