Infinitive,подсыха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подсыха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсыха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсыха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подсыха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подсыха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подсыха́ю
2nd Sing,подсыха́ешь
3rd Sing,подсыха́ет
1st Pl,подсыха́ем
2nd Pl,подсыха́ете
3rd Pl,подсыха́ют
Past M,подсыха́л
Past F,подсыха́ла
Past N,подсыха́ло
Past PL,подсыха́ли
Imp S,подсыха́й
Imp PL,подсыха́йте
