Infinitive,пососа́ть
Zaliznyak Class,6°b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пососа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посо́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пососа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пососа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пососу́
2nd Sing,пососёшь
3rd Sing,пососёт
1st Pl,пососём
2nd Pl,пососёте
3rd Pl,пососу́т
Past M,пососа́л
Past F,пососа́ла
Past N,пососа́ло
Past PL,пососа́ли
Imp S,пососи́
Imp PL,пососи́те
