Infinitive,поскользну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поскользну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поскользну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поскользну́сь
2nd Sing,поскользнёшься
3rd Sing,поскользнётся
1st Pl,поскользнёмся
2nd Pl,поскользнётесь
3rd Pl,поскользну́тся
Past M,поскользну́лся
Past F,поскользну́лась
Past N,поскользну́лось
Past PL,поскользну́лись
Imp S,поскользни́сь
Imp PL,поскользни́тесь
