Infinitive,поме́ркнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поме́ркший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,поме́ркнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поме́ркнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поме́ркши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поме́ркну
2nd Sing,поме́ркнешь
3rd Sing,поме́ркнет
1st Pl,поме́ркнем
2nd Pl,поме́ркнете
3rd Pl,поме́ркнут
Past M,поме́рк
Past F,поме́ркла
Past N,поме́ркло
Past PL,поме́ркли
Imp S,поме́ркни
Imp PL,поме́ркните
