Infinitive,посви́стывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посви́стывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,посви́стывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посви́стываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,посви́стывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,посви́стывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,посви́стывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,посви́стываю
2nd Sing,посви́стываешь
3rd Sing,посви́стывает
1st Pl,посви́стываем
2nd Pl,посви́стываете
3rd Pl,посви́стывают
Past M,посви́стывал
Past F,посви́стывала
Past N,посви́стывало
Past PL,посви́стывали
Imp S,посви́стывай
Imp PL,посви́стывайте
