Infinitive,поднести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поднёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поднесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поднеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поднёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поднесу́
2nd Sing,поднесёшь
3rd Sing,поднесёт
1st Pl,поднесём
2nd Pl,поднесёте
3rd Pl,поднесу́т
Past M,поднёс
Past F,поднесла́
Past N,поднесло́
Past PL,поднесли́
Imp S,поднеси́
Imp PL,поднеси́те
