Infinitive,пода́ть
Zaliznyak Class,irreg-b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пода́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,по́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пода́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пода́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пода́м
2nd Sing,пода́шь
3rd Sing,пода́ст
1st Pl,подади́м
2nd Pl,подади́те
3rd Pl,подаду́т
Past M,пода́л
Past F,подала́
Past N,пода́ло
Past PL,пода́ли
Imp S,пода́й
Imp PL,пода́йте
