Infinitive,помеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,помеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,помеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,помеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помеща́юсь
2nd Sing,помеща́ешься
3rd Sing,помеща́ется
1st Pl,помеща́емся
2nd Pl,помеща́етесь
3rd Pl,помеща́ются
Past M,помеща́лся
Past F,помеща́лась
Past N,помеща́лось
Past PL,помеща́лись
Imp S,помеща́йся
Imp PL,помеща́йтесь
