Infinitive,потуши́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потуши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поту́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потуши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потуши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потушу́
2nd Sing,поту́шишь
3rd Sing,поту́шит
1st Pl,поту́шим
2nd Pl,поту́шите
3rd Pl,поту́шат
Past M,потуши́л
Past F,потуши́ла
Past N,потуши́ло
Past PL,потуши́ли
Imp S,потуши́
Imp PL,потуши́те
