Infinitive,подда́кнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подда́кнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подда́кнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подда́кнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подда́кну
2nd Sing,подда́кнешь
3rd Sing,подда́кнет
1st Pl,подда́кнем
2nd Pl,подда́кнете
3rd Pl,подда́кнут
Past M,подда́кнул
Past F,подда́кнула
Past N,подда́кнуло
Past PL,подда́кнули
Imp S,подда́кни
Imp PL,подда́кните
