Infinitive,подта́лкивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подта́лкивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подта́лкивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подта́лкиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подта́лкивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подта́лкивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подта́лкивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подта́лкиваю
2nd Sing,подта́лкиваешь
3rd Sing,подта́лкивает
1st Pl,подта́лкиваем
2nd Pl,подта́лкиваете
3rd Pl,подта́лкивают
Past M,подта́лкивал
Past F,подта́лкивала
Past N,подта́лкивало
Past PL,подта́лкивали
Imp S,подта́лкивай
Imp PL,подта́лкивайте
