Infinitive,помота́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,помота́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,помо́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,помота́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,помота́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,помота́ю
2nd Sing,помота́ешь
3rd Sing,помота́ет
1st Pl,помота́ем
2nd Pl,помота́ете
3rd Pl,помота́ют
Past M,помота́л
Past F,помота́ла
Past N,помота́ло
Past PL,помота́ли
Imp S,помота́й
Imp PL,помота́йте
