Infinitive,подтру́нивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подтру́нивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтру́нивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтру́нивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подтру́нивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,подтру́нивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,подтру́ниваю
2nd Sing,подтру́ниваешь
3rd Sing,подтру́нивает
1st Pl,подтру́ниваем
2nd Pl,подтру́ниваете
3rd Pl,подтру́нивают
Past M,подтру́нивал
Past F,подтру́нивала
Past N,подтру́нивало
Past PL,подтру́нивали
Imp S,подтру́нивай
Imp PL,подтру́нивайте
