Infinitive,послужи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,послужи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,послужи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,послужи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,послужу́
2nd Sing,послу́жишь
3rd Sing,послу́жит
1st Pl,послу́жим
2nd Pl,послу́жите
3rd Pl,послу́жат
Past M,послужи́л
Past F,послужи́ла
Past N,послужи́ло
Past PL,послужи́ли
Imp S,послужи́
Imp PL,послужи́те
