Infinitive,покара́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покара́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,покара́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,покара́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,покара́ю
2nd Sing,покара́ешь
3rd Sing,покара́ет
1st Pl,покара́ем
2nd Pl,покара́ете
3rd Pl,покара́ют
Past M,покара́л
Past F,покара́ла
Past N,покара́ло
Past PL,покара́ли
Imp S,покара́й
Imp PL,покара́йте
