Infinitive,подсе́сть
Zaliznyak Class,7a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подсе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,подсе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,подся́ду
2nd Sing,подся́дешь
3rd Sing,подся́дет
1st Pl,подся́дем
2nd Pl,подся́дете
3rd Pl,подся́дут
Past M,подсе́л
Past F,подсе́ла
Past N,подсе́ло
Past PL,подсе́ли
Imp S,подся́дь
Imp PL,подся́дьте
