Infinitive,повле́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повлёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повлечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повлёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повлеку́
2nd Sing,повлечёшь
3rd Sing,повлечёт
1st Pl,повлечём
2nd Pl,повлечёте
3rd Pl,повлеку́т
Past M,повлёк
Past F,повлекла́
Past N,повлекло́
Past PL,повлекли́
Imp S,повлеки́
Imp PL,повлеки́те
