Infinitive,подсчита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсчита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подсчи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсчита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсчита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подсчита́ю
2nd Sing,подсчита́ешь
3rd Sing,подсчита́ет
1st Pl,подсчита́ем
2nd Pl,подсчита́ете
3rd Pl,подсчита́ют
Past M,подсчита́л
Past F,подсчита́ла
Past N,подсчита́ло
Past PL,подсчита́ли
Imp S,подсчита́й
Imp PL,подсчита́йте
