Infinitive,поджа́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поджа́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поджа́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поджа́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поджа́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поджа́рю
2nd Sing,поджа́ришь
3rd Sing,поджа́рит
1st Pl,поджа́рим
2nd Pl,поджа́рите
3rd Pl,поджа́рят
Past M,поджа́рил
Past F,поджа́рила
Past N,поджа́рило
Past PL,поджа́рили
Imp S,поджа́рь
Imp PL,поджа́рьте
