Infinitive,поклони́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поклони́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поклони́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поклоню́сь
2nd Sing,покло́нишься
3rd Sing,покло́нится
1st Pl,покло́нимся
2nd Pl,покло́нитесь
3rd Pl,покло́нятся
Past M,поклони́лся
Past F,поклони́лась
Past N,поклони́лось
Past PL,поклони́лись
Imp S,поклони́сь
Imp PL,поклони́тесь
