Infinitive,порва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,порва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,порва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,порву́сь
2nd Sing,порвёшься
3rd Sing,порвётся
1st Pl,порвёмся
2nd Pl,порвётесь
3rd Pl,порву́тся
Past M,порва́лся
Past F,порвала́сь
Past N,порвало́сь
Past PL,порвали́сь
Imp S,порви́сь
Imp PL,порви́тесь
