Infinitive,поко́нчить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поко́нчивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поко́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поко́нчив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поко́нчивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поко́нчу
2nd Sing,поко́нчишь
3rd Sing,поко́нчит
1st Pl,поко́нчим
2nd Pl,поко́нчите
3rd Pl,поко́нчат
Past M,поко́нчил
Past F,поко́нчила
Past N,поко́нчило
Past PL,поко́нчили
Imp S,поко́нчи
Imp PL,поко́нчите
