Infinitive,подосла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подосла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подосла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подосла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подошлю́
2nd Sing,подошлёшь
3rd Sing,подошлёт
1st Pl,подошлём
2nd Pl,подошлёте
3rd Pl,подошлю́т
Past M,подосла́л
Past F,подосла́ла
Past N,подосла́ло
Past PL,подосла́ли
Imp S,подошли́
Imp PL,подошли́те
