Infinitive,поговори́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поговори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поговори́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поговори́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поговорю́
2nd Sing,поговори́шь
3rd Sing,поговори́т
1st Pl,поговори́м
2nd Pl,поговори́те
3rd Pl,поговоря́т
Past M,поговори́л
Past F,поговори́ла
Past N,поговори́ло
Past PL,поговори́ли
Imp S,поговори́
Imp PL,поговори́те
