Infinitive,подска́зывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подска́зывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подска́зывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подска́зываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подска́зывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подска́зывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подска́зывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подска́зываю
2nd Sing,подска́зываешь
3rd Sing,подска́зывает
1st Pl,подска́зываем
2nd Pl,подска́зываете
3rd Pl,подска́зывают
Past M,подска́зывал
Past F,подска́зывала
Past N,подска́зывало
Past PL,подска́зывали
Imp S,подска́зывай
Imp PL,подска́зывайте
