Infinitive,подпере́ть
Zaliznyak Class,9*b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подпёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подпёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подопру́
2nd Sing,подопрёшь
3rd Sing,подопрёт
1st Pl,подопрём
2nd Pl,подопрёте
3rd Pl,подопру́т
Past M,подпёр
Past F,подпёрла
Past N,подпёрло
Past PL,подпёрли
Imp S,подопри́
Imp PL,подопри́те
