Infinitive,полете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,полете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,полете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,полечу́
2nd Sing,полети́шь
3rd Sing,полети́т
1st Pl,полети́м
2nd Pl,полети́те
3rd Pl,полетя́т
Past M,полете́л
Past F,полете́ла
Past N,полете́ло
Past PL,полете́ли
Imp S,полети́
Imp PL,полети́те
