Infinitive,подгото́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подгото́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подгото́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подгото́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подгото́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подгото́влю
2nd Sing,подгото́вишь
3rd Sing,подгото́вит
1st Pl,подгото́вим
2nd Pl,подгото́вите
3rd Pl,подгото́вят
Past M,подгото́вил
Past F,подгото́вила
Past N,подгото́вило
Past PL,подгото́вили
Imp S,подгото́вь
Imp PL,подгото́вьте
