Infinitive,подлови́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подлови́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подло́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подлови́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подлови́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подловлю́
2nd Sing,подло́вишь
3rd Sing,подло́вит
1st Pl,подло́вим
2nd Pl,подло́вите
3rd Pl,подло́вят
Past M,подлови́л
Past F,подлови́ла
Past N,подлови́ло
Past PL,подлови́ли
Imp S,подлови́
Imp PL,подлови́те
