Infinitive,подкати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подкати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подка́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подкати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подкати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подкачу́
2nd Sing,подка́тишь
3rd Sing,подка́тит
1st Pl,подка́тим
2nd Pl,подка́тите
3rd Pl,подка́тят
Past M,подкати́л
Past F,подкати́ла
Past N,подкати́ло
Past PL,подкати́ли
Imp S,подкати́
Imp PL,подкати́те
