Infinitive,постро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,постро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,постро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,постро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,постро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,постро́ю
2nd Sing,постро́ишь
3rd Sing,постро́ит
1st Pl,постро́им
2nd Pl,постро́ите
3rd Pl,постро́ят
Past M,постро́ил
Past F,постро́ила
Past N,постро́ило
Past PL,постро́или
Imp S,постро́й
Imp PL,постро́йте
