Infinitive,пошатну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пошатну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пошатну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пошатну́сь
2nd Sing,пошатнёшься
3rd Sing,пошатнётся
1st Pl,пошатнёмся
2nd Pl,пошатнётесь
3rd Pl,пошатну́тся
Past M,пошатну́лся
Past F,пошатну́лась
Past N,пошатну́лось
Past PL,пошатну́лись
Imp S,пошатни́сь
Imp PL,пошатни́тесь
