Infinitive,подви́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подви́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подви́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подви́нусь
2nd Sing,подви́нешься
3rd Sing,подви́нется
1st Pl,подви́немся
2nd Pl,подви́нетесь
3rd Pl,подви́нутся
Past M,подви́нулся
Past F,подви́нулась
Past N,подви́нулось
Past PL,подви́нулись
Imp S,подви́нься
Imp PL,подви́ньтесь
