Infinitive,подстрахова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подстрахова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подстрахо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подстрахова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подстрахова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подстраху́ю
2nd Sing,подстраху́ешь
3rd Sing,подстраху́ет
1st Pl,подстраху́ем
2nd Pl,подстраху́ете
3rd Pl,подстраху́ют
Past M,подстрахова́л
Past F,подстрахова́ла
Past N,подстрахова́ло
Past PL,подстрахова́ли
Imp S,подстраху́й
Imp PL,подстраху́йте
