Infinitive,подыто́жить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подыто́живший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подыто́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подыто́жив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подыто́живши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подыто́жу
2nd Sing,подыто́жишь
3rd Sing,подыто́жит
1st Pl,подыто́жим
2nd Pl,подыто́жите
3rd Pl,подыто́жат
Past M,подыто́жил
Past F,подыто́жила
Past N,подыто́жило
Past PL,подыто́жили
Imp S,подыто́жь
Imp PL,подыто́жьте
