Infinitive,порха́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,порха́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,порха́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,порха́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,порха́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,порха́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,порха́ю
2nd Sing,порха́ешь
3rd Sing,порха́ет
1st Pl,порха́ем
2nd Pl,порха́ете
3rd Pl,порха́ют
Past M,порха́л
Past F,порха́ла
Past N,порха́ло
Past PL,порха́ли
Imp S,порха́й
Imp PL,порха́йте
