Infinitive,поиме́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поиме́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поиме́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поиме́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поиме́ю
2nd Sing,поиме́ешь
3rd Sing,поиме́ет
1st Pl,поиме́ем
2nd Pl,поиме́ете
3rd Pl,поиме́ют
Past M,поиме́л
Past F,поиме́ла
Past N,поиме́ло
Past PL,поиме́ли
Imp S,поиме́й
Imp PL,поиме́йте
