Infinitive,поте́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,потёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потёкши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,потеку́
2nd Sing,потечёшь
3rd Sing,потечёт
1st Pl,потечём
2nd Pl,потечёте
3rd Pl,потеку́т
Past M,потёк
Past F,потекла́
Past N,потекло́
Past PL,потекли́
Imp S,потеки́
Imp PL,потеки́те
