Infinitive,почи́стить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,почи́стивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,почи́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,почи́стив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,почи́стивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,почи́щу
2nd Sing,почи́стишь
3rd Sing,почи́стит
1st Pl,почи́стим
2nd Pl,почи́стите
3rd Pl,почи́стят
Past M,почи́стил
Past F,почи́стила
Past N,почи́стило
Past PL,почи́стили
Imp S,почи́сти
Imp PL,почи́стите
