Infinitive,поглазе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поглазе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поглазе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поглазе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поглазе́ю
2nd Sing,поглазе́ешь
3rd Sing,поглазе́ет
1st Pl,поглазе́ем
2nd Pl,поглазе́ете
3rd Pl,поглазе́ют
Past M,поглазе́л
Past F,поглазе́ла
Past N,поглазе́ло
Past PL,поглазе́ли
Imp S,поглазе́й
Imp PL,поглазе́йте
