Infinitive,повали́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повали́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повали́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повалю́сь
2nd Sing,пова́лишься
3rd Sing,пова́лится
1st Pl,пова́лимся
2nd Pl,пова́литесь
3rd Pl,пова́лятся
Past M,повали́лся
Past F,повали́лась
Past N,повали́лось
Past PL,повали́лись
Imp S,повали́сь
Imp PL,повали́тесь
