Infinitive,посиде́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посиде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посиде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посиде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посижу́
2nd Sing,посиди́шь
3rd Sing,посиди́т
1st Pl,посиди́м
2nd Pl,посиди́те
3rd Pl,посидя́т
Past M,посиде́л
Past F,посиде́ла
Past N,посиде́ло
Past PL,посиде́ли
Imp S,посиди́
Imp PL,посиди́те
