Infinitive,посине́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,посине́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посине́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,посине́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,посине́ю
2nd Sing,посине́ешь
3rd Sing,посине́ет
1st Pl,посине́ем
2nd Pl,посине́ете
3rd Pl,посине́ют
Past M,посине́л
Past F,посине́ла
Past N,посине́ло
Past PL,посине́ли
Imp S,посине́й
Imp PL,посине́йте
