Infinitive,после́довать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,после́довавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,после́довав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,после́довавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,после́дую
2nd Sing,после́дуешь
3rd Sing,после́дует
1st Pl,после́дуем
2nd Pl,после́дуете
3rd Pl,после́дуют
Past M,после́довал
Past F,после́довала
Past N,после́довало
Past PL,после́довали
Imp S,после́дуй
Imp PL,после́дуйте
