Infinitive,подписа́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подписа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подписа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подпишу́сь
2nd Sing,подпи́шешься
3rd Sing,подпи́шется
1st Pl,подпи́шемся
2nd Pl,подпи́шетесь
3rd Pl,подпи́шутся
Past M,подписа́лся
Past F,подписа́лась
Past N,подписа́лось
Past PL,подписа́лись
Imp S,подпиши́сь
Imp PL,подпиши́тесь
