Infinitive,подвига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подвига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подвига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подвига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подвига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подвига́юсь
2nd Sing,подвига́ешься
3rd Sing,подвига́ется
1st Pl,подвига́емся
2nd Pl,подвига́етесь
3rd Pl,подвига́ются
Past M,подвига́лся
Past F,подвига́лась
Past N,подвига́лось
Past PL,подвига́лись
Imp S,подвига́йся
Imp PL,подвига́йтесь
