Infinitive,погости́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погости́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погости́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,погости́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,погощу́
2nd Sing,погости́шь
3rd Sing,погости́т
1st Pl,погости́м
2nd Pl,погости́те
3rd Pl,погостя́т
Past M,погости́л
Past F,погости́ла
Past N,погости́ло
Past PL,погости́ли
Imp S,погости́
Imp PL,погости́те
