Infinitive,подмеча́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подмеча́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подмеча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подмеча́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подмеча́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,подмеча́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,подмеча́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,подмеча́ю
2nd Sing,подмеча́ешь
3rd Sing,подмеча́ет
1st Pl,подмеча́ем
2nd Pl,подмеча́ете
3rd Pl,подмеча́ют
Past M,подмеча́л
Past F,подмеча́ла
Past N,подмеча́ло
Past PL,подмеча́ли
Imp S,подмеча́й
Imp PL,подмеча́йте
