Infinitive,поверну́ть
Zaliznyak Class,3b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поверну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повёрнутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поверну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поверну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поверну́
2nd Sing,повернёшь
3rd Sing,повернёт
1st Pl,повернём
2nd Pl,повернёте
3rd Pl,поверну́т
Past M,поверну́л
Past F,поверну́ла
Past N,поверну́ло
Past PL,поверну́ли
Imp S,поверни́
Imp PL,поверни́те
