Infinitive,поседе́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поседе́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поседе́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поседе́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поседе́ю
2nd Sing,поседе́ешь
3rd Sing,поседе́ет
1st Pl,поседе́ем
2nd Pl,поседе́ете
3rd Pl,поседе́ют
Past M,поседе́л
Past F,поседе́ла
Past N,поседе́ло
Past PL,поседе́ли
Imp S,поседе́й
Imp PL,поседе́йте
